:START_ID,:END_ID,share:float,:TYPE
p_7408,c_416,10,HOLD_SHARE
p_7736,c_780,12,HOLD_SHARE
p_4452,c_756,14,HOLD_SHARE
p_5463,c_396,8,HOLD_SHARE
p_8529,c_631,12,HOLD_SHARE
p_9211,c_761,10,HOLD_SHARE
p_1399,c_839,12,HOLD_SHARE
p_6877,c_349,1,HOLD_SHARE
p_3975,c_616,4,HOLD_SHARE
p_665,c_755,14,HOLD_SHARE
p_7093,c_108,6,HOLD_SHARE
p_263,c_689,8,HOLD_SHARE
p_9775,c_670,15,HOLD_SHARE
p_4753,c_248,13,HOLD_SHARE
p_1470,c_963,9,HOLD_SHARE
p_6708,c_403,14,HOLD_SHARE
p_3126,c_300,11,HOLD_SHARE
p_2168,c_391,6,HOLD_SHARE
p_5551,c_973,1,HOLD_SHARE
p_616,c_500,1,HOLD_SHARE
p_1,c_569,9,HOLD_SHARE
p_6234,c_467,14,HOLD_SHARE
p_19,c_209,15,HOLD_SHARE
p_6169,c_227,0,HOLD_SHARE
p_4535,c_675,0,HOLD_SHARE
p_7823,c_864,12,HOLD_SHARE
p_9233,c_58,7,HOLD_SHARE
p_7053,c_53,14,HOLD_SHARE
p_8771,c_123,6,HOLD_SHARE
p_359,c_963,15,HOLD_SHARE
p_5093,c_589,11,HOLD_SHARE
p_8871,c_783,12,HOLD_SHARE
p_1451,c_40,12,HOLD_SHARE
p_1694,c_153,13,HOLD_SHARE
p_4052,c_335,9,HOLD_SHARE
p_9440,c_790,9,HOLD_SHARE
p_8228,c_63,3,HOLD_SHARE
p_1197,c_928,9,HOLD_SHARE
p_3760,c_941,2,HOLD_SHARE
p_8135,c_517,5,HOLD_SHARE
p_8924,c_201,7,HOLD_SHARE
p_251,c_463,7,HOLD_SHARE
p_3148,c_799,4,HOLD_SHARE
p_5510,c_584,5,HOLD_SHARE
p_2954,c_764,9,HOLD_SHARE
p_6029,c_103,0,HOLD_SHARE
p_9449,c_294,2,HOLD_SHARE
p_8989,c_288,3,HOLD_SHARE
p_8317,c_937,5,HOLD_SHARE
p_3216,c_549,11,HOLD_SHARE
p_6541,c_274,5,HOLD_SHARE
p_6739,c_580,9,HOLD_SHARE
p_1564,c_10,15,HOLD_SHARE
p_2724,c_494,14,HOLD_SHARE
p_530,c_907,8,HOLD_SHARE
p_6285,c_874,10,HOLD_SHARE
p_1349,c_762,12,HOLD_SHARE
p_1859,c_554,9,HOLD_SHARE
p_3659,c_559,10,HOLD_SHARE
p_4022,c_224,0,HOLD_SHARE
p_5735,c_201,10,HOLD_SHARE
p_1708,c_480,11,HOLD_SHARE
p_9332,c_342,2,HOLD_SHARE
p_2158,c_305,11,HOLD_SHARE
p_7505,c_701,9,HOLD_SHARE
p_537,c_248,14,HOLD_SHARE
p_3666,c_690,5,HOLD_SHARE
p_3222,c_256,2,HOLD_SHARE
p_684,c_578,13,HOLD_SHARE
p_7445,c_48,15,HOLD_SHARE
p_438,c_242,5,HOLD_SHARE
p_4829,c_146,15,HOLD_SHARE
p_7912,c_47,0,HOLD_SHARE
p_6474,c_715,14,HOLD_SHARE
p_2140,c_11,13,HOLD_SHARE
p_3029,c_412,9,HOLD_SHARE
p_1070,c_384,3,HOLD_SHARE
p_976,c_901,11,HOLD_SHARE
p_9113,c_529,1,HOLD_SHARE
p_8249,c_412,14,HOLD_SHARE
p_1583,c_626,0,HOLD_SHARE
p_7873,c_171,6,HOLD_SHARE
p_6795,c_588,6,HOLD_SHARE
p_4391,c_745,2,HOLD_SHARE
p_2515,c_449,5,HOLD_SHARE
p_9821,c_883,8,HOLD_SHARE
p_8124,c_245,7,HOLD_SHARE
p_7143,c_725,5,HOLD_SHARE
p_1510,c_16,7,HOLD_SHARE
p_7726,c_571,6,HOLD_SHARE
p_2578,c_347,6,HOLD_SHARE
p_2019,c_744,2,HOLD_SHARE
p_627,c_148,3,HOLD_SHARE
p_8412,c_8,15,HOLD_SHARE
p_9028,c_910,14,HOLD_SHARE
p_9958,c_644,4,HOLD_SHARE
p_4910,c_74,8,HOLD_SHARE
p_4073,c_784,10,HOLD_SHARE
p_8810,c_68,7,HOLD_SHARE
p_9155,c_312,13,HOLD_SHARE
p_5616,c_824,13,HOLD_SHARE
p_7280,c_177,12,HOLD_SHARE
p_2938,c_801,1,HOLD_SHARE
p_6014,c_94,11,HOLD_SHARE
p_8911,c_680,0,HOLD_SHARE
p_692,c_509,6,HOLD_SHARE
p_1155,c_584,9,HOLD_SHARE
p_2707,c_664,14,HOLD_SHARE
p_2234,c_489,6,HOLD_SHARE
p_2249,c_742,0,HOLD_SHARE
p_5289,c_515,14,HOLD_SHARE
p_8196,c_902,5,HOLD_SHARE
p_5714,c_102,5,HOLD_SHARE
p_7876,c_83,3,HOLD_SHARE
p_270,c_155,6,HOLD_SHARE
p_3803,c_923,10,HOLD_SHARE
p_9746,c_941,6,HOLD_SHARE
p_6006,c_469,0,HOLD_SHARE
p_5944,c_873,10,HOLD_SHARE
p_4828,c_326,3,HOLD_SHARE
p_1193,c_580,3,HOLD_SHARE
p_9443,c_886,6,HOLD_SHARE
p_1454,c_912,13,HOLD_SHARE
p_5161,c_913,4,HOLD_SHARE
p_8209,c_273,15,HOLD_SHARE
p_6164,c_692,2,HOLD_SHARE
p_178,c_367,0,HOLD_SHARE
p_1984,c_570,7,HOLD_SHARE
p_3984,c_889,4,HOLD_SHARE
p_8146,c_298,12,HOLD_SHARE
p_4235,c_14,2,HOLD_SHARE
p_92,c_327,15,HOLD_SHARE
p_3118,c_615,8,HOLD_SHARE
p_1050,c_120,5,HOLD_SHARE
p_6025,c_79,14,HOLD_SHARE
p_8016,c_633,10,HOLD_SHARE
p_9970,c_315,0,HOLD_SHARE
p_3755,c_3,14,HOLD_SHARE
p_7063,c_556,0,HOLD_SHARE
p_9854,c_469,10,HOLD_SHARE
p_9756,c_343,7,HOLD_SHARE
p_3031,c_167,12,HOLD_SHARE
p_1977,c_612,8,HOLD_SHARE
p_769,c_252,7,HOLD_SHARE
p_684,c_726,9,HOLD_SHARE
p_2613,c_764,0,HOLD_SHARE
p_42,c_546,2,HOLD_SHARE
p_5591,c_687,5,HOLD_SHARE
p_7389,c_842,11,HOLD_SHARE
p_8213,c_298,8,HOLD_SHARE
p_5698,c_313,13,HOLD_SHARE
p_8212,c_818,14,HOLD_SHARE
p_1942,c_530,6,HOLD_SHARE
p_4157,c_346,9,HOLD_SHARE
p_701,c_670,15,HOLD_SHARE
p_2548,c_326,7,HOLD_SHARE
p_1797,c_656,1,HOLD_SHARE
p_4935,c_13,3,HOLD_SHARE
p_3553,c_351,9,HOLD_SHARE
p_7550,c_318,10,HOLD_SHARE
p_8142,c_700,0,HOLD_SHARE
p_1022,c_608,9,HOLD_SHARE
p_7227,c_692,13,HOLD_SHARE
p_8175,c_258,14,HOLD_SHARE
p_7097,c_552,7,HOLD_SHARE
p_4564,c_598,6,HOLD_SHARE
p_7598,c_716,1,HOLD_SHARE
p_1783,c_570,12,HOLD_SHARE
p_8370,c_704,10,HOLD_SHARE
p_3607,c_463,10,HOLD_SHARE
p_1873,c_676,6,HOLD_SHARE
p_8745,c_273,6,HOLD_SHARE
p_7730,c_436,13,HOLD_SHARE
p_9048,c_820,10,HOLD_SHARE
p_2925,c_579,0,HOLD_SHARE
p_7049,c_600,9,HOLD_SHARE
p_74,c_97,3,HOLD_SHARE
p_6699,c_244,12,HOLD_SHARE
p_735,c_85,12,HOLD_SHARE
p_2775,c_86,9,HOLD_SHARE
p_3160,c_552,9,HOLD_SHARE
p_2163,c_465,2,HOLD_SHARE
p_3142,c_314,15,HOLD_SHARE
p_9415,c_82,0,HOLD_SHARE
p_3779,c_57,14,HOLD_SHARE
p_7628,c_225,9,HOLD_SHARE
p_7382,c_61,9,HOLD_SHARE
p_4185,c_921,1,HOLD_SHARE
p_7433,c_861,11,HOLD_SHARE
p_953,c_357,2,HOLD_SHARE
p_9764,c_209,10,HOLD_SHARE
p_3062,c_743,13,HOLD_SHARE
p_2907,c_382,2,HOLD_SHARE
p_1916,c_995,9,HOLD_SHARE
p_5444,c_49,9,HOLD_SHARE
p_3978,c_88,15,HOLD_SHARE
p_7021,c_588,9,HOLD_SHARE
p_7647,c_616,6,HOLD_SHARE
p_5011,c_774,2,HOLD_SHARE
p_3501,c_268,6,HOLD_SHARE
p_2953,c_286,13,HOLD_SHARE
p_9964,c_564,6,HOLD_SHARE
p_3994,c_787,13,HOLD_SHARE
p_8060,c_391,6,HOLD_SHARE
p_5013,c_271,14,HOLD_SHARE
p_3980,c_930,7,HOLD_SHARE
p_1785,c_329,4,HOLD_SHARE
p_7733,c_469,11,HOLD_SHARE
p_4042,c_986,0,HOLD_SHARE
p_8441,c_419,9,HOLD_SHARE
p_1308,c_557,13,HOLD_SHARE
p_6694,c_54,8,HOLD_SHARE
p_4993,c_704,7,HOLD_SHARE
p_9300,c_855,11,HOLD_SHARE
p_6480,c_678,15,HOLD_SHARE
p_6943,c_962,6,HOLD_SHARE
p_806,c_325,12,HOLD_SHARE
p_7104,c_347,1,HOLD_SHARE
p_9808,c_266,11,HOLD_SHARE
p_9351,c_126,9,HOLD_SHARE
p_7196,c_571,14,HOLD_SHARE
p_1187,c_64,14,HOLD_SHARE
p_4282,c_42,5,HOLD_SHARE
p_2956,c_951,0,HOLD_SHARE
p_561,c_822,11,HOLD_SHARE
p_1224,c_41,14,HOLD_SHARE
p_9264,c_628,9,HOLD_SHARE
p_8146,c_59,0,HOLD_SHARE
p_159,c_639,3,HOLD_SHARE
p_9110,c_303,8,HOLD_SHARE
p_8099,c_955,3,HOLD_SHARE
p_7736,c_870,5,HOLD_SHARE
p_1964,c_261,10,HOLD_SHARE
p_7928,c_56,4,HOLD_SHARE
p_1109,c_701,2,HOLD_SHARE
p_2587,c_480,6,HOLD_SHARE
p_9024,c_875,8,HOLD_SHARE
p_9169,c_110,4,HOLD_SHARE
p_6569,c_33,5,HOLD_SHARE
p_2077,c_386,9,HOLD_SHARE
p_6239,c_653,14,HOLD_SHARE
p_804,c_357,9,HOLD_SHARE
p_3316,c_802,11,HOLD_SHARE
p_3089,c_665,13,HOLD_SHARE
p_2911,c_307,5,HOLD_SHARE
p_423,c_670,8,HOLD_SHARE
p_5746,c_719,7,HOLD_SHARE
p_6279,c_541,5,HOLD_SHARE
p_349,c_967,5,HOLD_SHARE
p_6086,c_358,8,HOLD_SHARE
p_1843,c_727,3,HOLD_SHARE
p_1261,c_859,3,HOLD_SHARE
p_9024,c_774,9,HOLD_SHARE
p_4783,c_854,2,HOLD_SHARE
p_2590,c_778,5,HOLD_SHARE
p_8021,c_467,5,HOLD_SHARE
p_2957,c_973,10,HOLD_SHARE
p_6381,c_386,7,HOLD_SHARE
p_6409,c_87,11,HOLD_SHARE
p_5987,c_371,15,HOLD_SHARE
p_785,c_4,4,HOLD_SHARE
p_6870,c_507,12,HOLD_SHARE
p_1981,c_42,3,HOLD_SHARE
p_4208,c_137,15,HOLD_SHARE
p_2428,c_519,0,HOLD_SHARE
p_2464,c_103,9,HOLD_SHARE
p_4943,c_285,1,HOLD_SHARE
p_6613,c_179,7,HOLD_SHARE
p_7989,c_514,1,HOLD_SHARE
p_2503,c_567,0,HOLD_SHARE
p_5952,c_626,2,HOLD_SHARE
p_7122,c_347,5,HOLD_SHARE
p_2918,c_271,4,HOLD_SHARE
p_2489,c_222,10,HOLD_SHARE
p_248,c_25,1,HOLD_SHARE
p_8949,c_904,3,HOLD_SHARE
p_9235,c_404,5,HOLD_SHARE
p_9728,c_151,2,HOLD_SHARE
p_5505,c_704,1,HOLD_SHARE
p_68,c_121,4,HOLD_SHARE
p_3304,c_526,13,HOLD_SHARE
p_7215,c_103,6,HOLD_SHARE
p_4408,c_411,0,HOLD_SHARE
p_1473,c_926,0,HOLD_SHARE
p_4105,c_410,12,HOLD_SHARE
p_7909,c_908,5,HOLD_SHARE
p_7407,c_113,13,HOLD_SHARE
p_5061,c_448,10,HOLD_SHARE
p_1773,c_466,7,HOLD_SHARE
p_7881,c_24,10,HOLD_SHARE
p_7372,c_43,11,HOLD_SHARE
p_1794,c_411,7,HOLD_SHARE
p_6814,c_158,11,HOLD_SHARE
p_3813,c_523,6,HOLD_SHARE
p_6384,c_727,5,HOLD_SHARE
p_5727,c_661,12,HOLD_SHARE
p_9235,c_952,3,HOLD_SHARE
p_8274,c_816,8,HOLD_SHARE
p_1613,c_560,0,HOLD_SHARE
p_3585,c_874,11,HOLD_SHARE
p_535,c_244,13,HOLD_SHARE
p_2422,c_0,6,HOLD_SHARE
p_6348,c_378,5,HOLD_SHARE
p_6318,c_797,12,HOLD_SHARE
p_3077,c_829,15,HOLD_SHARE
p_2152,c_130,13,HOLD_SHARE
p_7415,c_566,11,HOLD_SHARE
p_9882,c_148,4,HOLD_SHARE
p_3292,c_578,4,HOLD_SHARE
p_9668,c_509,8,HOLD_SHARE
p_698,c_879,6,HOLD_SHARE
p_3141,c_164,4,HOLD_SHARE
p_2725,c_569,0,HOLD_SHARE
p_7822,c_986,8,HOLD_SHARE
p_9977,c_669,1,HOLD_SHARE
p_148,c_957,5,HOLD_SHARE
p_3741,c_689,0,HOLD_SHARE
p_1033,c_495,10,HOLD_SHARE
p_3067,c_498,0,HOLD_SHARE
p_9864,c_442,1,HOLD_SHARE
p_7402,c_286,5,HOLD_SHARE
p_399,c_245,8,HOLD_SHARE
p_2278,c_804,4,HOLD_SHARE
p_4197,c_631,0,HOLD_SHARE
p_4104,c_173,15,HOLD_SHARE
p_5310,c_108,12,HOLD_SHARE
p_9681,c_448,9,HOLD_SHARE
p_5197,c_564,4,HOLD_SHARE
p_7596,c_623,1,HOLD_SHARE
p_50,c_23,9,HOLD_SHARE
p_1597,c_916,14,HOLD_SHARE
p_2545,c_738,3,HOLD_SHARE
p_3152,c_53,0,HOLD_SHARE
p_1613,c_940,1,HOLD_SHARE
p_1319,c_266,4,HOLD_SHARE
p_4683,c_542,9,HOLD_SHARE
p_5521,c_726,14,HOLD_SHARE
p_3168,c_946,0,HOLD_SHARE
p_1680,c_376,6,HOLD_SHARE
p_111,c_203,11,HOLD_SHARE
p_7975,c_553,8,HOLD_SHARE
p_9379,c_264,6,HOLD_SHARE
p_2089,c_342,2,HOLD_SHARE
p_3608,c_313,5,HOLD_SHARE
p_2695,c_652,12,HOLD_SHARE
p_8588,c_852,4,HOLD_SHARE
p_6250,c_20,2,HOLD_SHARE
p_2892,c_396,6,HOLD_SHARE
p_5958,c_452,12,HOLD_SHARE
p_6591,c_322,1,HOLD_SHARE
p_6259,c_95,14,HOLD_SHARE
p_3779,c_814,4,HOLD_SHARE
p_7215,c_536,1,HOLD_SHARE
p_3709,c_915,2,HOLD_SHARE
p_9273,c_233,15,HOLD_SHARE
p_1498,c_721,0,HOLD_SHARE
p_4507,c_866,10,HOLD_SHARE
p_9923,c_296,14,HOLD_SHARE
p_5078,c_963,0,HOLD_SHARE
p_834,c_19,11,HOLD_SHARE
p_448,c_160,11,HOLD_SHARE
p_5819,c_231,9,HOLD_SHARE
p_3331,c_482,15,HOLD_SHARE
p_6998,c_772,5,HOLD_SHARE
p_9980,c_680,9,HOLD_SHARE
p_8785,c_758,5,HOLD_SHARE
p_2115,c_786,10,HOLD_SHARE
p_9334,c_666,13,HOLD_SHARE
p_5170,c_709,9,HOLD_SHARE
p_3522,c_941,12,HOLD_SHARE
p_5133,c_252,4,HOLD_SHARE
p_5334,c_960,6,HOLD_SHARE
p_8876,c_238,5,HOLD_SHARE
p_1035,c_551,9,HOLD_SHARE
p_4659,c_415,15,HOLD_SHARE
p_4857,c_96,1,HOLD_SHARE
p_7863,c_684,14,HOLD_SHARE
p_6103,c_487,7,HOLD_SHARE
p_3481,c_606,15,HOLD_SHARE
p_2225,c_445,1,HOLD_SHARE
p_8677,c_163,0,HOLD_SHARE
p_9377,c_627,4,HOLD_SHARE
p_2143,c_823,13,HOLD_SHARE
p_4871,c_963,10,HOLD_SHARE
p_1454,c_111,5,HOLD_SHARE
p_4991,c_281,3,HOLD_SHARE
p_8421,c_22,7,HOLD_SHARE
p_8027,c_208,11,HOLD_SHARE
p_404,c_301,9,HOLD_SHARE
p_1025,c_874,0,HOLD_SHARE
p_4323,c_610,10,HOLD_SHARE
p_6565,c_525,8,HOLD_SHARE
p_5766,c_157,5,HOLD_SHARE
p_7469,c_503,14,HOLD_SHARE
p_8180,c_172,3,HOLD_SHARE
p_8172,c_167,4,HOLD_SHARE
p_6574,c_771,3,HOLD_SHARE
p_4697,c_299,12,HOLD_SHARE
p_4777,c_879,10,HOLD_SHARE
p_7872,c_658,8,HOLD_SHARE
p_2679,c_763,12,HOLD_SHARE
p_9294,c_127,12,HOLD_SHARE
p_5190,c_856,9,HOLD_SHARE
p_8433,c_484,3,HOLD_SHARE
p_3859,c_541,4,HOLD_SHARE
p_4590,c_854,8,HOLD_SHARE
p_1758,c_285,15,HOLD_SHARE
p_7474,c_234,5,HOLD_SHARE
p_236,c_304,14,HOLD_SHARE
p_377,c_470,12,HOLD_SHARE
p_6134,c_698,1,HOLD_SHARE
p_1969,c_558,1,HOLD_SHARE
p_8994,c_428,3,HOLD_SHARE
p_5688,c_204,11,HOLD_SHARE
p_3224,c_679,4,HOLD_SHARE
p_7164,c_954,6,HOLD_SHARE
p_3389,c_712,4,HOLD_SHARE
p_536,c_345,12,HOLD_SHARE
p_1754,c_301,4,HOLD_SHARE
p_8118,c_378,13,HOLD_SHARE
p_86,c_266,6,HOLD_SHARE
p_2106,c_810,14,HOLD_SHARE
p_4291,c_987,15,HOLD_SHARE
p_7803,c_856,11,HOLD_SHARE
p_6114,c_728,11,HOLD_SHARE
p_748,c_599,5,HOLD_SHARE
p_8618,c_122,1,HOLD_SHARE
p_6461,c_531,13,HOLD_SHARE
p_7207,c_574,8,HOLD_SHARE
p_3704,c_370,14,HOLD_SHARE
p_9671,c_654,7,HOLD_SHARE
p_1344,c_51,5,HOLD_SHARE
p_8089,c_478,2,HOLD_SHARE
p_5769,c_191,9,HOLD_SHARE
p_2993,c_159,12,HOLD_SHARE
p_8931,c_125,12,HOLD_SHARE
p_8953,c_717,7,HOLD_SHARE
p_7149,c_724,4,HOLD_SHARE
p_696,c_567,8,HOLD_SHARE
p_7086,c_706,13,HOLD_SHARE
p_7400,c_518,1,HOLD_SHARE
p_8014,c_799,10,HOLD_SHARE
p_1333,c_623,6,HOLD_SHARE
p_285,c_706,9,HOLD_SHARE
p_6587,c_605,12,HOLD_SHARE
p_9968,c_786,1,HOLD_SHARE
p_4979,c_444,13,HOLD_SHARE
p_6989,c_147,9,HOLD_SHARE
p_7618,c_617,3,HOLD_SHARE
p_4477,c_928,12,HOLD_SHARE
p_7890,c_779,7,HOLD_SHARE
p_6535,c_536,5,HOLD_SHARE
p_8744,c_49,13,HOLD_SHARE
p_722,c_792,4,HOLD_SHARE
p_1668,c_398,13,HOLD_SHARE
p_5641,c_786,4,HOLD_SHARE
p_5282,c_972,10,HOLD_SHARE
p_1450,c_277,4,HOLD_SHARE
p_9047,c_675,0,HOLD_SHARE
p_4059,c_372,4,HOLD_SHARE
p_57,c_874,10,HOLD_SHARE
p_9326,c_238,9,HOLD_SHARE
p_2373,c_764,7,HOLD_SHARE
p_2875,c_406,4,HOLD_SHARE
p_3270,c_624,11,HOLD_SHARE
p_5867,c_549,12,HOLD_SHARE
p_3993,c_684,9,HOLD_SHARE
p_9635,c_301,3,HOLD_SHARE
p_4256,c_813,12,HOLD_SHARE
p_3118,c_732,0,HOLD_SHARE
p_7181,c_395,10,HOLD_SHARE
p_8340,c_214,1,HOLD_SHARE
p_3464,c_18,5,HOLD_SHARE
p_834,c_413,4,HOLD_SHARE
p_6594,c_912,1,HOLD_SHARE
p_805,c_957,15,HOLD_SHARE
p_4086,c_138,9,HOLD_SHARE
p_5489,c_550,7,HOLD_SHARE
p_1826,c_427,10,HOLD_SHARE
p_7245,c_655,11,HOLD_SHARE
p_405,c_424,0,HOLD_SHARE
p_1920,c_44,11,HOLD_SHARE
p_4410,c_427,15,HOLD_SHARE
p_3135,c_827,3,HOLD_SHARE
p_3363,c_614,11,HOLD_SHARE
p_389,c_576,7,HOLD_SHARE
p_1559,c_190,15,HOLD_SHARE
p_7447,c_577,4,HOLD_SHARE
p_2364,c_381,13,HOLD_SHARE
p_5269,c_228,6,HOLD_SHARE
p_5972,c_454,9,HOLD_SHARE
p_3144,c_498,0,HOLD_SHARE
p_3723,c_612,10,HOLD_SHARE
p_2035,c_969,14,HOLD_SHARE
p_6221,c_26,10,HOLD_SHARE
p_5724,c_854,14,HOLD_SHARE
p_9137,c_741,15,HOLD_SHARE
p_2507,c_927,12,HOLD_SHARE
p_4642,c_567,9,HOLD_SHARE
p_9943,c_318,10,HOLD_SHARE
p_564,c_600,12,HOLD_SHARE
p_5107,c_142,15,HOLD_SHARE
p_1543,c_396,9,HOLD_SHARE
p_2071,c_6,12,HOLD_SHARE
p_8732,c_572,3,HOLD_SHARE
p_2029,c_23,2,HOLD_SHARE
p_9332,c_18,6,HOLD_SHARE
p_3758,c_434,12,HOLD_SHARE
p_1830,c_162,6,HOLD_SHARE
p_3227,c_218,14,HOLD_SHARE
p_5177,c_961,2,HOLD_SHARE
p_5091,c_400,9,HOLD_SHARE
p_7920,c_496,1,HOLD_SHARE
p_4381,c_163,0,HOLD_SHARE
p_663,c_62,7,HOLD_SHARE
p_134,c_342,1,HOLD_SHARE
p_734,c_602,8,HOLD_SHARE
p_4166,c_460,12,HOLD_SHARE
p_4902,c_821,14,HOLD_SHARE
p_9358,c_318,3,HOLD_SHARE
p_6626,c_262,15,HOLD_SHARE
p_9212,c_146,0,HOLD_SHARE
p_8639,c_575,1,HOLD_SHARE
p_81,c_180,5,HOLD_SHARE
p_7598,c_472,2,HOLD_SHARE
p_9968,c_874,0,HOLD_SHARE
p_9842,c_858,3,HOLD_SHARE
p_3762,c_848,13,HOLD_SHARE
p_122,c_166,0,HOLD_SHARE
p_7870,c_642,6,HOLD_SHARE
p_1034,c_71,2,HOLD_SHARE
p_9244,c_10,14,HOLD_SHARE
p_5728,c_507,10,HOLD_SHARE
p_5039,c_318,2,HOLD_SHARE
p_3862,c_931,8,HOLD_SHARE
p_2747,c_975,4,HOLD_SHARE
p_3674,c_342,15,HOLD_SHARE
p_4009,c_800,3,HOLD_SHARE
p_4347,c_278,15,HOLD_SHARE
p_8641,c_643,3,HOLD_SHARE
p_4717,c_447,0,HOLD_SHARE
p_6703,c_202,1,HOLD_SHARE
p_9574,c_258,5,HOLD_SHARE
p_7754,c_501,8,HOLD_SHARE
