:START_ID,:END_ID,role,:TYPE
p_3554,c_602,Forensic psychologist,ROLE_AS
p_6400,c_518,Armed forces logistics/support/administrative officer,ROLE_AS
p_6696,c_613,Advertising copywriter,ROLE_AS
p_4434,c_974,Chartered certified accountant,ROLE_AS
p_8951,c_992,Minerals surveyor,ROLE_AS
p_2824,c_539,Artist,ROLE_AS
p_1733,c_642,Theatre director,ROLE_AS
p_1708,c_173,Regulatory affairs officer,ROLE_AS
p_3506,c_64,Further education lecturer,ROLE_AS
p_8448,c_143,Financial controller,ROLE_AS
p_9296,c_196,Editor;commissioning',ROLE_AS
p_7402,c_357,Television production assistant,ROLE_AS
p_7548,c_93,Bookseller,ROLE_AS
p_7758,c_612,Computer games developer,ROLE_AS
p_4496,c_881,Plant breeder/geneticist,ROLE_AS
p_1912,c_392,Embryologist;clinical',ROLE_AS
p_5265,c_976,Location manager,ROLE_AS
p_8801,c_335,Geologist;engineering',ROLE_AS
p_6709,c_709,Magazine journalist,ROLE_AS
p_6322,c_705,Therapist;sports',ROLE_AS
p_4168,c_816,Designer;television/film set',ROLE_AS
p_3378,c_323,Database administrator,ROLE_AS
p_996,c_425,Furniture conservator/restorer,ROLE_AS
p_778,c_773,Scientist;clinical (histocompatibility and immunogenetics)',ROLE_AS
p_2857,c_462,Retail merchandiser,ROLE_AS
p_1736,c_491,Designer;exhibition/display',ROLE_AS
p_4356,c_716,Magazine journalist,ROLE_AS
p_103,c_800,Lawyer,ROLE_AS
p_9947,c_725,Television/film/video producer,ROLE_AS
p_9617,c_830,Recruitment consultant,ROLE_AS
p_3764,c_193,Engineer;mining',ROLE_AS
p_5813,c_675,Barrister''s clerk',ROLE_AS
p_4203,c_325,Surveyor;hydrographic',ROLE_AS
p_8448,c_162,Clinical psychologist,ROLE_AS
p_3157,c_548,Tax adviser,ROLE_AS
p_749,c_733,Counselling psychologist,ROLE_AS
p_1597,c_236,Designer;graphic',ROLE_AS
p_9932,c_401,Production manager,ROLE_AS
p_9208,c_998,Education administrator,ROLE_AS
p_2097,c_717,Immunologist,ROLE_AS
p_6183,c_739,Manufacturing engineer,ROLE_AS
p_5559,c_271,Agricultural engineer,ROLE_AS
p_4624,c_486,Environmental education officer,ROLE_AS
p_3090,c_995,Designer;graphic',ROLE_AS
p_4115,c_594,Building surveyor,ROLE_AS
p_1018,c_375,Sports development officer,ROLE_AS
p_4285,c_703,Programmer;applications',ROLE_AS
p_5608,c_740,Associate Professor,ROLE_AS
p_4159,c_705,Interior and spatial designer,ROLE_AS
p_1372,c_19,Pension scheme manager,ROLE_AS
p_8888,c_661,Solicitor;Scotland',ROLE_AS
p_9443,c_903,Secondary school teacher,ROLE_AS
p_3726,c_581,Food technologist,ROLE_AS
p_6026,c_908,Paramedic,ROLE_AS
p_4106,c_194,Customer service manager,ROLE_AS
p_2176,c_970,Financial manager,ROLE_AS
p_5756,c_703,Volunteer coordinator,ROLE_AS
p_9043,c_335,Operations geologist,ROLE_AS
p_9954,c_615,Sports therapist,ROLE_AS
p_7098,c_504,Tax adviser,ROLE_AS
p_5172,c_511,Hydrogeologist,ROLE_AS
p_483,c_43,Web designer,ROLE_AS
p_2936,c_198,Human resources officer,ROLE_AS
p_876,c_126,Engineer;civil (consulting)',ROLE_AS
p_9001,c_586,Conservation officer;historic buildings',ROLE_AS
p_9869,c_534,Dietitian,ROLE_AS
p_9480,c_455,Occupational therapist,ROLE_AS
p_5061,c_652,Osteopath,ROLE_AS
p_5950,c_277,Cytogeneticist,ROLE_AS
p_258,c_601,Advertising account executive,ROLE_AS
p_4517,c_893,Brewing technologist,ROLE_AS
p_9054,c_616,Public relations officer,ROLE_AS
p_2598,c_273,Engineer;energy',ROLE_AS
p_8475,c_52,Analytical chemist,ROLE_AS
p_7671,c_121,Banker,ROLE_AS
p_837,c_960,Public relations officer,ROLE_AS
p_6749,c_181,Accountant;chartered',ROLE_AS
p_651,c_346,Race relations officer,ROLE_AS
p_4732,c_597,Immunologist,ROLE_AS
p_281,c_775,Programmer;systems',ROLE_AS
p_7419,c_988,Web designer,ROLE_AS
p_5617,c_725,Mechanical engineer,ROLE_AS
p_9409,c_835,Building control surveyor,ROLE_AS
p_8977,c_480,Transport planner,ROLE_AS
p_889,c_763,Nurse;learning disability',ROLE_AS
p_6487,c_50,Producer;television/film/video',ROLE_AS
p_5740,c_48,Surveyor;mining',ROLE_AS
p_7424,c_550,Health visitor,ROLE_AS
p_5686,c_177,Higher education careers adviser,ROLE_AS
p_5138,c_898,Biomedical scientist,ROLE_AS
p_5826,c_576,IT sales professional,ROLE_AS
p_8196,c_533,Financial manager,ROLE_AS
p_9143,c_491,Merchandiser;retail',ROLE_AS
p_2623,c_213,Press photographer,ROLE_AS
p_143,c_987,Radiographer;diagnostic',ROLE_AS
p_6769,c_82,Conservation officer;nature',ROLE_AS
p_9439,c_647,Tax inspector,ROLE_AS
p_2310,c_483,Clinical biochemist,ROLE_AS
p_6908,c_201,Buyer;retail',ROLE_AS
p_3706,c_778,Designer;jewellery',ROLE_AS
p_6446,c_43,Designer;textile',ROLE_AS
p_4891,c_390,Special educational needs teacher,ROLE_AS
p_3902,c_467,Race relations officer,ROLE_AS
p_4358,c_734,Land,ROLE_AS
p_2119,c_353,Conservation officer;nature',ROLE_AS
p_4287,c_989,Early years teacher,ROLE_AS
p_9092,c_370,Chartered accountant,ROLE_AS
p_1664,c_262,Make,ROLE_AS
p_4353,c_517,Art therapist,ROLE_AS
p_9309,c_708,Production manager,ROLE_AS
p_8514,c_68,Sports therapist,ROLE_AS
p_628,c_508,Architectural technologist,ROLE_AS
p_7644,c_593,Publishing rights manager,ROLE_AS
p_7878,c_424,Games developer,ROLE_AS
p_4349,c_389,Learning mentor,ROLE_AS
p_7061,c_204,General practice doctor,ROLE_AS
p_6688,c_227,Chief Financial Officer,ROLE_AS
p_2521,c_118,Recruitment consultant,ROLE_AS
p_1298,c_139,Insurance underwriter,ROLE_AS
p_122,c_629,Veterinary surgeon,ROLE_AS
p_4971,c_160,Education officer;environmental',ROLE_AS
p_1043,c_427,Education officer;environmental',ROLE_AS
p_6829,c_492,Nurse;learning disability',ROLE_AS
p_552,c_387,Adult nurse,ROLE_AS
p_5016,c_858,Health and safety adviser,ROLE_AS
p_9519,c_505,Market researcher,ROLE_AS
p_6839,c_355,Forest/woodland manager,ROLE_AS
p_5625,c_747,English as a foreign language teacher,ROLE_AS
p_1364,c_495,Publishing copy,ROLE_AS
p_8321,c_331,Veterinary surgeon,ROLE_AS
p_4596,c_590,IT trainer,ROLE_AS
p_1708,c_413,Psychiatrist,ROLE_AS
p_8383,c_596,Chartered management accountant,ROLE_AS
p_5684,c_73,Administrator;education',ROLE_AS
p_3751,c_305,Web designer,ROLE_AS
p_3889,c_176,Translator,ROLE_AS
p_6009,c_950,Cabin crew,ROLE_AS
p_2717,c_325,Engineer;civil (consulting)',ROLE_AS
p_1456,c_682,Accountant;chartered certified',ROLE_AS
p_5328,c_12,Tax inspector,ROLE_AS
p_4961,c_19,Designer;exhibition/display',ROLE_AS
p_1520,c_987,Applications developer,ROLE_AS
p_8267,c_304,Pharmacologist,ROLE_AS
p_3433,c_944,Production designer;theatre/television/film',ROLE_AS
p_6291,c_920,Hydrologist,ROLE_AS
p_4811,c_427,Logistics and distribution manager,ROLE_AS
p_7065,c_399,Customer service manager,ROLE_AS
p_5008,c_68,Communications engineer,ROLE_AS
p_6399,c_329,Editorial assistant,ROLE_AS
p_8433,c_291,Ceramics designer,ROLE_AS
p_9307,c_494,IT sales professional,ROLE_AS
p_7003,c_63,Mudlogger,ROLE_AS
p_5072,c_864,Geophysical data processor,ROLE_AS
p_5702,c_399,Occupational psychologist,ROLE_AS
p_7065,c_912,Actor,ROLE_AS
p_4712,c_549,Buyer;retail',ROLE_AS
p_4675,c_976,Microbiologist,ROLE_AS
p_6614,c_786,Geologist;engineering',ROLE_AS
p_9078,c_775,Outdoor activities/education manager,ROLE_AS
p_2572,c_905,Research officer;government',ROLE_AS
p_7491,c_887,Electronics engineer,ROLE_AS
p_5788,c_51,Games developer,ROLE_AS
p_1783,c_568,Journalist;newspaper',ROLE_AS
p_8605,c_376,Scientist;research (maths)',ROLE_AS
p_6821,c_443,Insurance risk surveyor,ROLE_AS
p_9271,c_604,Technical author,ROLE_AS
p_6899,c_166,Geologist;wellsite',ROLE_AS
p_2312,c_912,Forest/woodland manager,ROLE_AS
p_2057,c_535,Pension scheme manager,ROLE_AS
p_7246,c_458,Adult nurse,ROLE_AS
p_5756,c_881,Government social research officer,ROLE_AS
p_9193,c_918,Chief of Staff,ROLE_AS
p_206,c_988,Educational psychologist,ROLE_AS
p_9068,c_379,Transport planner,ROLE_AS
p_4921,c_682,Designer;fashion/clothing',ROLE_AS
p_3352,c_528,Social research officer;government',ROLE_AS
p_3008,c_176,Broadcast engineer,ROLE_AS
p_5887,c_541,Museum/gallery curator,ROLE_AS
p_1068,c_195,Public relations officer,ROLE_AS
p_324,c_769,Office manager,ROLE_AS
p_1447,c_571,Armed forces operational officer,ROLE_AS
p_7836,c_590,Rural practice surveyor,ROLE_AS
p_8555,c_106,Colour technologist,ROLE_AS
p_964,c_408,Civil Service administrator,ROLE_AS
p_7219,c_183,Research scientist (physical sciences),ROLE_AS
p_1443,c_662,Theatre stage manager,ROLE_AS
p_1443,c_69,Advertising account planner,ROLE_AS
p_4892,c_766,Investment banker;operational',ROLE_AS
p_1561,c_218,Chartered certified accountant,ROLE_AS
p_116,c_520,Journalist;broadcasting',ROLE_AS
p_4748,c_599,Quarry manager,ROLE_AS
p_9131,c_266,Furniture designer,ROLE_AS
p_2008,c_47,Event organiser,ROLE_AS
p_8377,c_508,Air broker,ROLE_AS
p_8598,c_46,Equality and diversity officer,ROLE_AS
p_4848,c_178,Pathologist,ROLE_AS
p_9400,c_771,Designer;fashion/clothing',ROLE_AS
p_2622,c_199,Journalist;newspaper',ROLE_AS
p_2405,c_93,Information officer,ROLE_AS
p_3404,c_854,Phytotherapist,ROLE_AS
p_2570,c_71,Health and safety adviser,ROLE_AS
p_4815,c_734,Lighting technician;broadcasting/film/video',ROLE_AS
p_2418,c_432,Scientist;research (physical sciences)',ROLE_AS
p_4734,c_281,Medical sales representative,ROLE_AS
p_6711,c_507,Dancer,ROLE_AS
p_188,c_956,Publishing copy,ROLE_AS
p_3996,c_480,Translator,ROLE_AS
p_8682,c_620,Communications engineer,ROLE_AS
p_4148,c_675,Brewing technologist,ROLE_AS
p_2306,c_9,Advertising account planner,ROLE_AS
p_9952,c_529,Primary school teacher,ROLE_AS
p_6259,c_552,Tourism officer,ROLE_AS
p_669,c_643,IT consultant,ROLE_AS
p_601,c_262,Probation officer,ROLE_AS
p_6818,c_761,Programmer;multimedia',ROLE_AS
p_5703,c_735,Teacher;music',ROLE_AS
p_4055,c_101,Television floor manager,ROLE_AS
p_5806,c_298,Dealer,ROLE_AS
p_6505,c_148,Barrister''s clerk',ROLE_AS
p_2245,c_947,Applications developer,ROLE_AS
p_7146,c_301,Paediatric nurse,ROLE_AS
p_4411,c_231,Operational researcher,ROLE_AS
p_9365,c_16,Geochemist,ROLE_AS
p_1642,c_757,Information officer,ROLE_AS
p_6016,c_186,Bookseller,ROLE_AS
p_3302,c_608,Chartered certified accountant,ROLE_AS
p_3280,c_436,Optometrist,ROLE_AS
p_4248,c_440,Television/film/video producer,ROLE_AS
p_4708,c_505,Public relations account executive,ROLE_AS
p_2020,c_978,Geochemist,ROLE_AS
p_2262,c_743,Printmaker,ROLE_AS
p_1235,c_867,Geneticist;molecular',ROLE_AS
p_8917,c_698,Tourist information centre manager,ROLE_AS
p_4394,c_94,Food technologist,ROLE_AS
p_9918,c_633,Geneticist;molecular',ROLE_AS
p_6966,c_898,Chief Marketing Officer,ROLE_AS
p_628,c_131,Art gallery manager,ROLE_AS
p_1702,c_299,Colour technologist,ROLE_AS
p_3167,c_416,Higher education careers adviser,ROLE_AS
p_4704,c_971,Data scientist,ROLE_AS
p_9822,c_891,Architectural technologist,ROLE_AS
p_7405,c_624,Engineer;automotive',ROLE_AS
p_4610,c_763,Town planner,ROLE_AS
p_8042,c_349,Theatre manager,ROLE_AS
p_4303,c_929,Retail merchandiser,ROLE_AS
p_3024,c_732,IT trainer,ROLE_AS
p_9784,c_253,Investment banker;operational',ROLE_AS
p_4761,c_974,Lawyer,ROLE_AS
p_9425,c_553,Engineer;energy',ROLE_AS
p_3368,c_681,Equities trader,ROLE_AS
p_329,c_976,Architect,ROLE_AS
p_7705,c_547,Education officer;museum',ROLE_AS
p_3577,c_461,Scientist;research (life sciences)',ROLE_AS
p_4235,c_253,Engineer;chemical',ROLE_AS
p_2664,c_982,Patent examiner,ROLE_AS
p_9021,c_5,Charity fundraiser,ROLE_AS
p_9715,c_225,Licensed conveyancer,ROLE_AS
p_3820,c_93,Textile designer,ROLE_AS
p_9340,c_394,Trade mark attorney,ROLE_AS
p_3305,c_749,Legal secretary,ROLE_AS
p_2610,c_248,Programmer;multimedia',ROLE_AS
p_3293,c_426,Teacher;music',ROLE_AS
p_2388,c_353,Dramatherapist,ROLE_AS
p_4640,c_68,Field seismologist,ROLE_AS
p_9051,c_283,Agricultural consultant,ROLE_AS
p_4511,c_607,Estate agent,ROLE_AS
p_309,c_925,Embryologist;clinical',ROLE_AS
p_860,c_200,Chief Operating Officer,ROLE_AS
p_1134,c_972,Microbiologist,ROLE_AS
p_4305,c_324,Research officer;trade union',ROLE_AS
p_4405,c_601,Oncologist,ROLE_AS
p_4847,c_916,Pharmacologist,ROLE_AS
p_6101,c_651,Cytogeneticist,ROLE_AS
p_3515,c_67,Physiological scientist,ROLE_AS
p_5864,c_971,Sub,ROLE_AS
p_2388,c_601,Higher education careers adviser,ROLE_AS
p_9723,c_202,Consulting civil engineer,ROLE_AS
p_2295,c_249,Health physicist,ROLE_AS
p_4708,c_745,Diplomatic Services operational officer,ROLE_AS
p_4517,c_18,Careers information officer,ROLE_AS
p_8892,c_894,Ophthalmologist,ROLE_AS
p_9522,c_797,Investment analyst,ROLE_AS
p_3925,c_522,Education officer;environmental',ROLE_AS
p_364,c_653,Hydrogeologist,ROLE_AS
p_6378,c_464,Social researcher,ROLE_AS
p_5934,c_660,Barista,ROLE_AS
p_1694,c_387,Fitness centre manager,ROLE_AS
p_3056,c_613,Hydrogeologist,ROLE_AS
p_7460,c_280,Naval architect,ROLE_AS
p_5132,c_511,Economist,ROLE_AS
p_5616,c_453,Training and development officer,ROLE_AS
p_6937,c_297,Production engineer,ROLE_AS
p_5036,c_224,Trading standards officer,ROLE_AS
p_3667,c_892,Librarian;academic',ROLE_AS
p_3040,c_513,Systems analyst,ROLE_AS
p_4018,c_998,Probation officer,ROLE_AS
p_1805,c_771,Geographical information systems officer,ROLE_AS
p_9645,c_100,Presenter;broadcasting',ROLE_AS
p_3790,c_279,Computer games developer,ROLE_AS
p_6158,c_716,Financial adviser,ROLE_AS
p_997,c_54,Geoscientist,ROLE_AS
p_7142,c_381,Operational researcher,ROLE_AS
p_5472,c_627,Higher education lecturer,ROLE_AS
p_7661,c_765,Accountant;chartered public finance',ROLE_AS
p_1450,c_681,Tour manager,ROLE_AS
p_1621,c_447,Podiatrist,ROLE_AS
p_5183,c_275,Merchandiser;retail',ROLE_AS
p_5514,c_765,Librarian;public',ROLE_AS
p_815,c_944,Air broker,ROLE_AS
p_2982,c_351,Merchandiser;retail',ROLE_AS
p_2360,c_614,Chiropractor,ROLE_AS
p_357,c_92,Engineer;energy',ROLE_AS
p_3741,c_211,Science writer,ROLE_AS
p_9849,c_973,Tree surgeon,ROLE_AS
p_2965,c_653,Nature conservation officer,ROLE_AS
p_3437,c_451,Community education officer,ROLE_AS
p_3981,c_793,Programmer;multimedia',ROLE_AS
p_5020,c_616,Therapist;sports',ROLE_AS
p_4484,c_844,Call centre manager,ROLE_AS
p_1429,c_631,Legal executive,ROLE_AS
p_6389,c_926,Biomedical scientist,ROLE_AS
p_2634,c_54,Warden/ranger,ROLE_AS
p_6290,c_100,Photographer,ROLE_AS
p_9432,c_787,Restaurant manager;fast food',ROLE_AS
p_7810,c_13,Hydrologist,ROLE_AS
p_4815,c_600,Conference centre manager,ROLE_AS
p_1557,c_417,Education officer;environmental',ROLE_AS
p_7284,c_396,Freight forwarder,ROLE_AS
p_3222,c_211,Company secretary,ROLE_AS
p_9648,c_752,Hotel manager,ROLE_AS
p_6256,c_198,Government social research officer,ROLE_AS
p_1217,c_681,Teacher;English as a foreign language',ROLE_AS
p_7142,c_24,Ophthalmologist,ROLE_AS
p_3125,c_832,Therapist;drama',ROLE_AS
p_6946,c_810,Housing manager/officer,ROLE_AS
p_1902,c_330,Musician,ROLE_AS
